station_uid,station_address,station_type_name,station_brand,station_model,connector_evse_id,station_owner_company_is_shopping_center,station_owner_company_show_advanced_services,station_owner_company_show_roaming,station_owner_company_show_map,plugs,sessions,totEnergy,totEnergyNotLocal,totSessions,totSessionsNotLocal,totCost,totPublicSessions,totPublicCost,totPublicEnergy
34ff9bef-c9f6-40ce-8672-08dd184238d9,A4 Torino - Trieste,PARKING_LOT,EVTEC,10941.0B,IT*F2X*EF2XITD2051*2,false,true,false,false,"[{'max_electric_power': 62500, 'max_voltage': 500, 'power_type_id': 3, 'plug_type_id': 1, 'plug_format_id': 2, 'type': 'CHADEMO', 'format': 'CABLE'}]","[{'count': 9, 'energy': 108.392, 'date': '2024-01', 'cost': '59.62', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 9, 'energy': 100.34799999999998, 'date': '2024-02', 'cost': '55.19', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 8, 'energy': 108.359, 'date': '2024-03', 'cost': '59.59', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 4, 'energy': 36.046, 'date': '2024-04', 'cost': '19.83', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 8, 'energy': 77.88799999999999, 'date': '2024-05', 'cost': '37.72', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 10, 'energy': 182.346, 'date': '2024-06', 'cost': '100.28', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 3, 'energy': 52.453, 'date': '2024-07', 'cost': '28.85', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 4, 'energy': 52.144, 'date': '2024-08', 'cost': '28.69', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}]",717.9759999999998,708.6539999999998,55,54,389.77,55,389.77,717.9759999999998
ed85d36f-3911-4a3b-9090-4a574888c153,A14 - Autostrada Adriatica,PARKING_LOT,alpitronic GmbH,HYC300_4_21_21_00_00,IT*F2X*EF2XITN9001*2,false,true,false,false,"[{'max_electric_power': 300000, 'max_voltage': 600, 'power_type_id': 3, 'plug_type_id': 21, 'plug_format_id': 2, 'type': 'COMBO', 'format': 'CABLE'}]","[{'count': 37, 'energy': 1515.2199999999996, 'date': '2024-01', 'cost': '1030.21', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 19, 'energy': 897.9709999999998, 'date': '2024-02', 'cost': '610.62', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 24, 'energy': 797.7009999999999, 'date': '2024-03', 'cost': '542.45', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 46, 'energy': 1701.406, 'date': '2024-04', 'cost': '1156.97', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 39, 'energy': 1469.5909999999997, 'date': '2024-05', 'cost': '999.33', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 48, 'energy': 1632.6879999999999, 'date': '2024-06', 'cost': '1064.68', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 94, 'energy': 3549.230999999999, 'date': '2024-07', 'cost': '2413.42', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 134, 'energy': 4802.016999999999, 'date': '2024-08', 'cost': '3267.29', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 15, 'energy': 604.3379999999999, 'date': '2024-09', 'cost': '410.94', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}]",16970.163000000004,16356.688000000004,456,439,11495.91,456,11495.91,16970.163000000004
505a3cca-45fd-49e3-bfb1-b77d5bc5cc92,Viale dell'Aviazione,PARKING_LOT,FIMER SPA,ePUBLIC,IT*F2X*EF2XITLINP51*1,false,true,false,false,"[{'max_electric_power': 22000, 'max_voltage': 230, 'power_type_id': 2, 'plug_type_id': 20, 'plug_format_id': 1, 'type': 'TYPE 2', 'format': 'SOCKET'}]","[{'count': 7, 'energy': 211.184, 'date': '2024-01', 'cost': '95.02', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 7, 'energy': 243.832, 'date': '2024-02', 'cost': '109.73', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 7, 'energy': 252.07600000000002, 'date': '2024-03', 'cost': '113.43', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 5, 'energy': 169.852, 'date': '2024-04', 'cost': '76.44', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 5, 'energy': 129.78, 'date': '2024-05', 'cost': '58.40', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 7, 'energy': 248.571, 'date': '2024-06', 'cost': '111.86', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 7, 'energy': 161.232, 'date': '2024-07', 'cost': '72.55', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 7, 'energy': 177.57, 'date': '2024-08', 'cost': '79.92', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 1, 'energy': 9.59, 'date': '2024-09', 'cost': '4.32', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}]",1603.6870000000001,1603.6870000000001,53,53,721.67,53,721.67,1603.6870000000001
bf82964e-57ac-4677-b289-7a8477002d8a,Autostrada Firenze-Mare,PARKING_LOT,alpitronic GmbH,HYC300_4_21_21_00_00,IT*F2X*EF2XITK1101*1,false,true,false,false,"[{'max_electric_power': 300000, 'max_voltage': 600, 'power_type_id': 3, 'plug_type_id': 21, 'plug_format_id': 2, 'type': 'COMBO', 'format': 'CABLE'}]","[{'count': 153, 'energy': 4464.652000000002, 'date': '2024-01', 'cost': '3035.98', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 131, 'energy': 3827.2520000000013, 'date': '2024-02', 'cost': '2602.55', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 144, 'energy': 4482.224000000002, 'date': '2024-03', 'cost': '3047.89', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 120, 'energy': 3251.668, 'date': '2024-04', 'cost': '2211.13', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 135, 'energy': 3907.604, 'date': '2024-05', 'cost': '2657.18', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 121, 'energy': 3574.3239999999996, 'date': '2024-06', 'cost': '2432.19', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 171, 'energy': 5686.148000000001, 'date': '2024-07', 'cost': '3870.33', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 155, 'energy': 4578.984000000001, 'date': '2024-08', 'cost': '3115.55', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 14, 'energy': 462.60800000000006, 'date': '2024-09', 'cost': '315.64', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}]",34235.464000000014,33967.37600000001,1144,1134,23288.44,1144,23288.44,34235.464000000014
736d4894-54ee-4d77-8643-0d5a76636bd7,Autostrada Firenze-Mare,PARKING_LOT,alpitronic GmbH,HYC300_4_21_21_00_00,IT*F2X*EF2XITK1102*2,false,true,false,false,"[{'max_electric_power': 300000, 'max_voltage': 600, 'power_type_id': 3, 'plug_type_id': 21, 'plug_format_id': 2, 'type': 'COMBO', 'format': 'CABLE'}]","[{'count': 29, 'energy': 1007.2030000000001, 'date': '2024-01', 'cost': '684.90', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 19, 'energy': 681.7209999999999, 'date': '2024-02', 'cost': '463.58', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 37, 'energy': 846.3219999999999, 'date': '2024-03', 'cost': '575.50', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 46, 'energy': 1557.7939999999999, 'date': '2024-04', 'cost': '1059.30', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 84, 'energy': 2787.848, 'date': '2024-05', 'cost': '1895.76', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 76, 'energy': 2230.6959999999995, 'date': '2024-06', 'cost': '1516.93', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 115, 'energy': 3808.5560000000014, 'date': '2024-07', 'cost': '2589.80', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 95, 'energy': 3191.402, 'date': '2024-08', 'cost': '2186.22', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 6, 'energy': 174.912, 'date': '2024-09', 'cost': '118.93', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}]",16286.453999999996,15963.725999999997,507,493,11090.92,507,11090.92,16286.453999999996
44e82f4a-aa7f-4829-a526-3e136098cafa,A16 - Autostrada dei Due Mari,PARKING_LOT,EVTEC,10941.1A,IT*F2X*EF2XITP3151*3,false,true,false,false,"[{'max_electric_power': 22000, 'max_voltage': 230, 'power_type_id': 2, 'plug_type_id': 20, 'plug_format_id': 1, 'type': 'TYPE 2', 'format': 'SOCKET'}]","[{'count': 5, 'energy': 29.833, 'date': '2024-01', 'cost': '13.42', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 8, 'energy': 33.394, 'date': '2024-02', 'cost': '15.03', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 5, 'energy': 19.259999999999998, 'date': '2024-03', 'cost': '8.66', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 8, 'energy': 61.961999999999996, 'date': '2024-04', 'cost': '27.89', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 9, 'energy': 29.433, 'date': '2024-05', 'cost': '13.25', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 10, 'energy': 57.955999999999996, 'date': '2024-06', 'cost': '26.07', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 11, 'energy': 28.214000000000002, 'date': '2024-07', 'cost': '12.69', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 19, 'energy': 85.52300000000001, 'date': '2024-08', 'cost': '38.47', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}]",345.57499999999993,334.72999999999985,75,70,155.48,75,155.48,345.57499999999993
352bb050-4228-420c-9799-a8322a0b4dc9,A1  Autostrada del Sole,PARKING_LOT,alpitronic GmbH,HYC300_4_21_21_00_00,IT*F2X*EF2XITA7003*2,false,true,false,false,"[{'max_electric_power': 300000, 'max_voltage': 600, 'power_type_id': 3, 'plug_type_id': 21, 'plug_format_id': 2, 'type': 'COMBO', 'format': 'CABLE'}]","[{'count': 4, 'energy': 202.106, 'date': '2024-07', 'cost': '137.43', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 123, 'energy': 4804.991999999998, 'date': '2024-08', 'cost': '3267.33', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 5, 'energy': 143.329, 'date': '2024-09', 'cost': '97.46', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}]",5150.426999999998,5019.727999999998,132,129,3502.22,132,3502.22,5150.426999999998
795f4bf4-74bf-4093-8cfe-f54997e09f0f,A4 Torino - Trieste,PARKING_LOT,alpitronic GmbH,HYC300_4_21_21_00_00,IT*F2X*EF2XITD5102*1,false,true,false,false,"[{'max_electric_power': 300000, 'max_voltage': 600, 'power_type_id': 3, 'plug_type_id': 21, 'plug_format_id': 2, 'type': 'COMBO', 'format': 'CABLE'}]","[{'count': 275, 'energy': 7314.144000000004, 'date': '2024-01', 'cost': '4973.60', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 259, 'energy': 6591.079999999999, 'date': '2024-02', 'cost': '4481.90', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 304, 'energy': 8604.528000000002, 'date': '2024-03', 'cost': '5851.07', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 322, 'energy': 8951.607999999991, 'date': '2024-04', 'cost': '6087.12', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 298, 'energy': 7880.367999999999, 'date': '2024-05', 'cost': '5358.66', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 294, 'energy': 8232.328000000005, 'date': '2024-06', 'cost': '5601.12', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 202, 'energy': 5679.144000000001, 'date': '2024-07', 'cost': '3861.78', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 74, 'energy': 1972.9679999999996, 'date': '2024-08', 'cost': '1342.36', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 29, 'energy': 757.9680000000001, 'date': '2024-09', 'cost': '515.41', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}]",55984.13600000014,54784.84000000013,2057,2009,38073.02,2057,38073.02,55984.13600000014
bae9b486-e641-4414-b4e8-f3184c3f4a62,A14 - Autostrada Adriatica,PARKING_LOT,alpitronic GmbH,HYC300_4_21_21_00_00,IT*F2X*EF2XITN2503*1,false,true,false,false,"[{'max_electric_power': 200000, 'max_voltage': 400, 'power_type_id': 3, 'plug_type_id': 21, 'plug_format_id': 2, 'type': 'COMBO', 'format': 'CABLE'}]","[{'count': 1, 'energy': 0.756, 'date': '2024-04', 'cost': '0.51', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}]",0.756,0.0,1,0,0.51,1,0.51,0.756
5fe05ce0-b5f2-4855-a39c-c243732f3e6d,A1 - Autostrada del Sole,PARKING_LOT,alpitronic GmbH,HYC_150,IT*F2X*EF2XITA9651*1,false,true,false,false,"[{'max_electric_power': 50000, 'max_voltage': 1000, 'power_type_id': 3, 'plug_type_id': 1, 'plug_format_id': 2, 'type': 'CHADEMO', 'format': 'CABLE'}]","[{'count': 6, 'energy': 88.094, 'date': '2024-01', 'cost': '48.45', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 6, 'energy': 76.051, 'date': '2024-02', 'cost': '41.82', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 1, 'energy': 2.226, 'date': '2024-03', 'cost': '1.22', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 5, 'energy': 68.004, 'date': '2024-04', 'cost': '37.40', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 2, 'energy': 27.282, 'date': '2024-05', 'cost': '15.01', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 4, 'energy': 35.757000000000005, 'date': '2024-06', 'cost': '19.66', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 2, 'energy': 22.365, 'date': '2024-07', 'cost': '12.30', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 1, 'energy': 6.164, 'date': '2024-08', 'cost': '3.39', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}, {'count': 1, 'energy': 16.209, 'date': '2024-09', 'cost': '8.91', 'countInHouse': 0, 'countInPublic': 0, 'energyInHouse': 0, 'energyInPublic': 0, 'costInHouse': 0, 'costInPublic': 0}]",342.15199999999993,342.15199999999993,28,28,188.16,28,188.16,342.15199999999993
